property_name,area_type,property_type,status,furnishing,facing,description,price,price_num,square_feet,price_per_sqft,floor_info,max_floors
2 BHK Apartment for Sale in Kamrej Road Surat,Carpet Area,Resale,Ready to Move,Unfurnished,North - East,"Multistorey apartment is available for sale. It has carpet area 783 sq-ft, it is 2 BHK apartment. Please contact for more details.Read more",₹50 Lac ,5000000.0,783.0,6385.6960408684545,5.0,5.0
1 BHK Apartment for Sale in Ram Pura Surat,Carpet Area,Resale,Ready to Move,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Ram Pura, Surat for 16.25 Lac(s)Read more",₹16.3 Lac ,1630000.0,605.0,2686.0,2.0,5.0
2 BHK Apartment for Sale in Nana Varachha Surat,Super Area,Resale,Ready to Move,Semi-Furnished,East,The Home consists of 2 furnished bathroom and also has 2 balconies. It is located on 4th floor of the 10 floors in the tower and is well ventilated. This is a 2 bed room apartment present in Nana Varachha. It offers 1190 Sq-ft area for use. Expected price of the Home is fixed at 40 Lac. Patel community.Read more,₹39 Lac ,3900000.0,1193.0,3269.0,4.0,10.0
2 BHK Penthouse for Sale in L P Savani Surat,Carpet Area,Resale,Ready to Move,Semi-Furnished,North - East,"Enroute Adajan to Pal, is placed within 100 meters from L P Savani School, backside of Subhash Chandra Bose Road, joining Pandit Deendayal Upadhyay Cable Bridge directly. Thus one of the primemost areas of Surat.This flat is equipped with gas pipeline, gas geyser, and a huge individual privately owned accessed terrace of 900 sq feet dedicated only for the owners of this wonderful dwelling unit.School, Hospitals, Banks, Groceries, Hardware, Dairy shops, Vegetables, Chakki, Farsan wala etc all within 100 meters distance. Therefore, one of the best locations available.Read more",₹39.9 Lac ,3990000.0,1446.0,4006.0,4.0,4.0
2 BHK Apartment for Sale in Honey Park Surat,Carpet Area,Resale,Ready to Move,Semi-Furnished,North - East,"2 BHK, Multistorey Apartment is available for Sale in , Surat for 35.0 Lac(s)Read more",₹35 Lac ,3500000.0,950.0,3043.0,2.0,4.0
2 BHK Apartment for Sale in 503RIDDHI SIDDHI RESIDENCY Surat,Carpet Area,Resale,Ready to Move,Semi-Furnished,East,"good looking a morning sun light, nearby schools, hotels, vegetables market, hospitalsRead more",₹35 Lac ,3500000.0,750.0,3333.0,5.0,6.0
2 BHK Apartment for Sale in Rander Road Surat,Super Area,Resale,Ready to Move,Unfurnished,East,"Security Cabin, CCTV surveillance, Piped Gas Gujarat Gas,  Parking areaRead more",₹38 Lac ,3800000.0,1100.0,3455.0,3.0,5.0
2 BHK Builder Floor for Sale in devdhgam Surat,Carpet Area,Resale,Ready to Move,Furnished,East,"Bedroom full furniture, Air conditioner in Bedroom, Inventor for power cut backup approx 6 hours, Sofa set with tea table, full furniture in kitchen, Washing machine,  R O filter in kitchen, WiFi connection, Front door with Personal security camera with mobile connect ,Bathroom with Water Heaters  Exhaust Fan.Read more",₹28.5 Lac ,2850000.0,734.0,2749.0,2.0,5.0
1 BHK Apartment for Sale in Udhna Surat,Super Area,Resale,Ready to Move,Semi-Furnished,North - East,"East facing, vastu compliant, Good wind and duffused sunlight. Nearby School, Hospital and market.Read more",₹12.8 Lac ,1280000.0,550.0,2318.0,4.0,4.0
2 BHK Apartment for Sale in vraj vihar complex koli street adajan gam Surat,Carpet Area,Resale,Ready to Move,Semi-Furnished,East,"It is a good area and all facilities like the market, school, hospital, petrol pump, mall, metro , brts, garden and office are within 2 km from home. best price. no any issue in building and home.Read more",₹25 Lac ,2500000.0,800.0,2500.0,1.0,4.0
2 BHK Apartment for Sale in Rustampura Surat,Carpet Area,Resale,Ready to Move,Unfurnished,South,"Reliance mall,Apple hospital,Ashapuri mata temple, BRTS BUS STATION,Udhna darwaja,Textile market ring roadRead more",₹34 Lac ,3400000.0,945.0,2787.0,4.0,4.0
